KHYA,Hyannis,Massachusetts,United States,41.669336,-70.280356,
KLWM,Lawrence,Massachusetts,United States,42.717194,-71.123417,
KMVY,Martha's Vineyard,Massachusetts,United States,41.391667,-70.615278,
KACK,Nantucket,Massachusetts,United States,41.253053,-70.060181,
KEWB,New Bedford,Massachusetts,United States,41.676100,-70.956900,
KOWD,Norwood,Massachusetts,United States,42.190528,-71.172944,
KFMH,Otis Angb,Massachusetts,United States,41.658439,-70.521417,
KPYM,Plymouth,Massachusetts,United States,41.909028,-70.728778,
KPVC,Provincetown,Massachusetts,United States,42.071945,-70.221390,
KTAN,Taunton,Massachusetts,United States,41.874402,-71.016645,
KBAF,Westfield,Massachusetts,United States,42.157947,-72.715875,
KORH,Worcester,Massachusetts,United States,42.267300,-71.875700,
KAPN,Alpena,Michigan,United States,45.078100,-83.560300,
KCVX,Charlevoix,Michigan,United States,45.304778,-85.275333,
KOEB,Coldwater,Michigan,United States,41.933569,-85.052294,
KDET,Detroit,Michigan,United States,42.409195,-83.009861,
KCMX,Dodgeville,Michigan,United States,47.168400,-88.489100,
KESC,Escanaba,Michigan,United States,45.722778,-87.093611,
KFNT,Flint,Michigan,United States,42.965424,-83.743629,
KGRR,Grand Rapids,Michigan,United States,42.880833,-85.522806,
KSAW,Gwinn,Michigan,United States,46.353625,-87.395353,
KBIV,Holland,Michigan,United States,42.742778,-86.107833,
KHTL,Houghton Lake,Michigan,United States,44.359806,-84.671112,
KIMT,Iron Mountain,Michigan,United States,45.818361,-88.114556,
KJXN,Jackson,Michigan,United States,42.260556,-84.460556,
KAZO,Kalamazoo,Michigan,United States,42.234875,-85.552058,
KCIU,Kinross,Michigan,United States,46.250800,-84.472400,
KLAN,Lansing,Michigan,United States,42.778700,-84.587357,
KMBL,Manistee,Michigan,United States,44.272500,-86.246944,
KSAW,Marquette,Michigan,United States,46.353625,-87.395353,
KRMY,Marshall,Michigan,United States,42.251193,-84.955444,
KMNM,Menominee,Michigan,United States,45.126650,-87.638443,
KMTC,Mount Clemens,Michigan,United States,42.608333,-82.835500,
KMKG,Muskegon,Michigan,United States,43.169500,-86.238200,
KERY,Newberry,Michigan,United States,46.311199,-85.457298,
KPLN,Pellston,Michigan,United States,45.570900,-84.796700,
KPHN,Port Huron,Michigan,United States,42.910957,-82.528862,
KDTW,Romulus,Michigan,United States,42.212444,-83.353389,
KMTC,Selfridge,Michigan,United States,42.608333,-82.835500,
KTVC,Traverse City,Michigan,United States,44.741445,-85.582235,
